game_id|game_date|visit_id|home_id|visit_scores|home_scores|attendance|officials
1797215|11/05/2019 08:00 PM|486689|486961|['36', '31', '67']|['36', '49', '85']|7202|['Marques Pettigrew', 'Rick Crawford', 'Joe DeRosa']
1797221|11/05/2019 08:00 PM|486939|486865|['19', '47', '4', '70']|['30', '36', '12', '78']|10034|['Brooks Wells', 'Kewis Garrison', 'Donnie Eppley']
1815013|11/05/2019 08:00 PM|490788|486802|['26', '34', '60']|['46', '57', '103']|407|[]
1813843|11/05/2019 08:00 PM|487278|486937|['29', '29', '58']|['52', '62', '114']|1427|['Earl Lennie', 'Beau Melancon', 'Kevin Montz']
1797242|11/05/2019 08:00 PM|486737|486658|['26', '15', '41']|['37', '33', '70']|4495|['Christopher Merlo', 'Brian Shey', 'Anthony Jordan']
1797243|11/05/2019 08:00 PM|490822|486673|['17', '9', '26']|['44', '40', '84']|529|['John Atanassov', 'Mark Pillen', 'Jon Broska']
1797246|11/05/2019 08:00 PM|486811|486882|['31', '32', '63']|['34', '31', '65']|1476|[]
1797247|11/05/2019 08:00 PM|487406|486940|['26', '33', '59']|['50', '50', '100']|1706|['Kevin Ricks', 'Matthew Lee', 'Terrance Isom']
1797249|11/05/2019 08:00 PM|486825|486676|['31', '31', '62']|['31', '39', '70']|7025|['Garrick Shannon', 'Olandis Poole', 'Steven  Anderson']
1797111|11/05/2019 08:00 PM|486754|486851|['30', '34', '64']|['42', '53', '95']|6000|['Coban Lopez', 'Marc Beasley', 'Ruben Ramos']
1797129|11/05/2019 08:00 PM|486873|487001|['30', '40', '70']|['36', '57', '93']|4976|[]
1797109|11/05/2019 08:00 PM|486678|486716|['23', '41', '64']|['36', '40', '76']|4841|['Kenneth Moreland', 'Antinio Petty', 'Barry Mathis']
1797114|11/05/2019 08:00 PM|486969|486755|['35', '46', '81']|['35', '45', '80']|11223|['Hunter Allen', 'R.B. Clyburn', 'Mike Nance']
1797115|11/05/2019 08:00 PM|486748|486992|['18', '49', '67']|['40', '49', '89']|6321|[]
