team_id|team_short_name|team_long_name
486879|['Kent St.']|['Kent St. Golden Flashes']
486934|['NJIT']|['NJIT Highlanders']
486808|['Colgate']|['Colgate Raiders']
487079|['Merrimack']|['Merrimack Warriors']
486895|['Maine']|['Maine Black Bears']
486904|['McNeese']|['McNeese Cowboys']
486717|['Western Mich.']|['Western Mich. Broncos']
490715|[]|[]
486853|['Hampton']|['Hampton Pirates']
490070|[]|[]
486848|['Georgia St.']|['Georgia St. Panthers']
487000|['San Jose St.']|['San Jose St. Spartans']
486857|['Hofstra']|['Hofstra Pride']
486922|"[""Mount St. Mary's""]"|"[""Mount St. Mary's Mountaineers""]"
486846|['Georgetown']|['Georgetown Hoyas']
486750|['North Ala.']|['North Ala. Lions']
486655|['South Carolina']|['South Carolina Gamecocks']
486666|['Southern U.']|['Southern U. Jaguars']
486926|['Charlotte']|['Charlotte 49ers']
486876|['James Madison']|['James Madison Dukes']
487663|['LeTourneau']|['LeTourneau YellowJackets']
486672|['SFA']|['SFA Lumberjacks']
490695|[]|[]
486653|['South Alabama']|['South Alabama Jaguars']
487611|['East Tex. Baptist']|['East Tex. Baptist Tigers']
486852|['Grambling']|['Grambling Tigers']
486660|['Southeastern La.']|['Southeastern La. Lions']
486693|['Tulane']|['Tulane Green Wave']
486840|['Florida St.']|['Florida St. Seminoles']
486971|['Pittsburgh']|['Pittsburgh Panthers']
486744|['Belmont']|['Belmont Bruins']
486864|['Illinois St.']|['Illinois St. Redbirds']
486791|['UC Santa Barbara']|['UC Santa Barbara Gauchos']
486741|['UIW']|['UIW Cardinals']
486916|['Missouri']|['Missouri Tigers']
486682|['Texas A&amp;M']|['Texas A&amp;M Aggies']
486659|['Southeast Mo. St.']|['Southeast Mo. St. Redhawks']
486701|['Vanderbilt']|['Vanderbilt Commodores']
487175|['Newberry']|['Newberry Wolves']
486829|['ETSU']|['ETSU Buccaneers']
486963|['Oral Roberts']|['Oral Roberts Golden Eagles']
486960|['Oklahoma St.']|['Oklahoma St. Cowboys']
486889|['Louisiana Tech']|['Louisiana Tech Bulldogs']
486746|['A&amp;M-Corpus Christi']|['A&amp;M-Corpus Christi Islanders']
487190|['Ark.-Monticello']|['Ark.-Monticello Boll Weevils']
486763|['Arkansas St.']|['Arkansas St. Red Wolves']
487363|['Chicago']|['Chicago Maroons']
486803|['Cincinnati']|['Cincinnati Bearcats']
486958|['Ohio St.']|['Ohio St. Buckeyes']
487043|['Eastern N.M.']|['Eastern N.M. Greyhounds']
486936|['New Mexico']|['New Mexico Lobos']
486707|['Virginia']|['Virginia Cavaliers']
486675|['Syracuse']|['Syracuse Orange']
486949|['Northern Ariz.']|['Northern Ariz. Lumberjacks']
486762|['Arizona']|['Arizona Wildcats']
486919|['Montana']|['Montana Grizzlies']
486671|['Stanford']|['Stanford Cardinal']
486788|['Long Beach St.']|['Long Beach St. Beach']
486795|['UCLA']|['UCLA Bruins']
487692|['Spalding']|['Spalding Golden Eagles']
490699|[]|[]
486985|['Rutgers']|['Rutgers Scarlet Knights']
487396|['Ferrum']|['Ferrum Panthers']
486735|['Presbyterian']|['Presbyterian Blue Hose']
487628|['Manchester']|['Manchester Spartans']
487427|['New Jersey City']|['New Jersey City Gothic Knights']
486994|"[""Saint Peter's""]"|"[""Saint Peter's Peacocks""]"
490882|[]|[]
486720|['Winthrop']|['Winthrop Eagles']
486984|['Robert Morris']|['Robert Morris Colonials']
486899|['Marshall']|['Marshall Thundering Herd']
486756|['UAB']|['UAB Blazers']
486692|['Troy']|['Troy Trojans']
487061|['Ky. Wesleyan']|['Ky. Wesleyan Panthers']
487667|['Southwestern (TX)']|['Southwestern (TX) Pirates']
486683|['TCU']|['TCU Horned Frogs']
487706|['Crown (MN)']|['Crown (MN) Storm']
486945|['North Dakota']|['North Dakota Fighting Hawks']
491321|[]|[]
487619|['Hendrix']|['Hendrix Warriors']
491322|[]|[]
486824|['Drake']|['Drake Bulldogs']
486710|['Washington St.']|['Washington St. Cougars']
486695|['Air Force']|['Air Force Falcons']
490690|[]|[]
491032|[]|[]
486832|['Eastern Mich.']|['Eastern Mich. Eagles']
486817|['Davidson']|['Davidson Wildcats']
487554|['Merchant Marine']|['Merchant Marine Mariners']
491353|[]|[]
486915|['Ole Miss']|['Ole Miss Rebels']
486713|['West Virginia']|['West Virginia Mountaineers']
490782|[]|[]
486897|['Marist']|['Marist Red Foxes']
486812|['UConn']|['UConn Huskies, UConn']
486982|['Richmond']|['Richmond Spiders']
487486|['Oberlin']|['Oberlin Yeomen']
486702|['Vermont']|['Vermont Catamounts']
487735|['Bryn Athyn']|['Bryn Athyn Lions']
486938|['Niagara']|['Niagara Purple Eagles']
486979|['Radford']|['Radford Highlanders']
486885|['Liberty']|['Liberty Flames']
486820|['Delaware St.']|['Delaware St. Hornets']
491795|[]|[]
486816|['Dartmouth']|['Dartmouth Big Green']
486782|['Buffalo']|['Buffalo Bulls']
490756|['Bob Jones']|[]
487412|['Hampden-Sydney']|['Hampden-Sydney Tigers']
490893|[]|[]
486955|['Northwestern']|['Northwestern Wildcats']
490054|[]|[]
486888|['LSU']|['LSU Fighting Tigers']
490772|[]|[]
486712|['Weber St.']|['Weber St. Wildcats']
486872|['Iowa']|['Iowa Hawkeyes']
486657|['South Dakota']|['South Dakota Coyotes']
486711|['Washington']|['Washington Huskies']
487348|['Cal Lutheran']|['Cal Lutheran Kingsmen']
486784|['Cal Poly']|['Cal Poly Mustangs']
